S. No,First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,Promotional Platforms,Others ,Designation,Year of Graduation,City,CGPA,CGPA Category,Experience with python (Months),Python Experience Level,Family Income,Expected salary (Lac),Expected Salary Category,Leadership- skills
52,Ritesh,ritesh@xyz.com,1,Art of Resume Building,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Whatsapp,Whatsapp,,Students,2026,Rewari,6.5,6.0 - 7.0,4,Beginner,2-5 Lakh,23,20-40LPA,yes
53,Harsh,harsh@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini College Of Engineering, Nagpur ",Others,Others,Friends,Students,2023,Rohtak,7.3,7.1-8.0,3,Beginner,5-7 Lakh,8,5-10 LPA,yes
54,Sanika ,sanika@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute Of Technology,Others,Others,College,Students,2023,Sirsa,6.7,6.0 - 7.0,5,Intermediate,7 Lakh+,9,5-10 LPA,no
55,Shruti,shruti@xyz.com,1,Art of Resume Building,Attending,New Horizon Institute Of Technology And Management ,Whatsapp,Whatsapp,,Students,2024,Sonipat,8.7,8.1-9.0,7,Expert,0-2 Lakh,7,5-10 LPA,no
56,Sonali ,sonali@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Whatsapp,Whatsapp,,Students,2025,Chamba,6.7,6.0 - 7.0,3,Beginner,0-2 Lakh,13,10-20LPA,no
57,Sushant ,sushant@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2025,Kangra,9,8.1-9.0,4,Beginner,0-2 Lakh,19,10-20LPA,yes
58,Omkar,omkar@xyz.com,1,Art of Resume Building,Attending,"Mit Academy Of Engineering ,Alandi",LinkedIn,LinkedIn,,Students,2024,Hamirpur,7.2,7.1-8.0,4,Beginner,0-2 Lakh,25,20-40LPA,no
59,Krutika ,krutika@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College Of Engineering,Whatsapp,Whatsapp,,Students,2023,kullu,8.5,8.1-9.0,5,Intermediate,2-5 Lakh,22,20-40LPA,no
60,Sachin,sachin@xyz.com,1,Art of Resume Building,Attending,Wilson College ,Whatsapp,Whatsapp,,Students,2026,Mandi,6.5,6.0 - 7.0,4,Beginner,5-7 Lakh,6,5-10 LPA,no
61,Omkar,omkar@xyz.com,1,Art of Resume Building,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Email,Email,,Students,2024,Una,9.5,9.1-10,5,Intermediate,0-2 Lakh,20,10-20LPA,no
62,Varun,varun@xyz.com,1,Art of Resume Building,Attending,N/A,Whatsapp | Others,Whatsapp ,College,Students,2023,Anantnag,8.1,8.1-9.0,7,Expert,0-2 Lakh,15,10-20LPA,yes
63,Anand,anand@xyz.com,1,Art of Resume Building,Attending,Ap Shah Institute Of Technology ,Youtube | Facebook | Instagram | LinkedIn | Whatsapp | Email,Youtube ,,Students,2023,Doda,9.3,9.1-10,4,Beginner,0-2 Lakh,19,10-20LPA,no 
64,Karuna,karuna@xyz.com,1,Art of Resume Building,Attending,Don Bosco College Of Engineering Fatorda Goa,Whatsapp,Whatsapp,,Students,2024,Gulmarg,9.1,9.1-10,3,Beginner,0-2 Lakh,13,10-20LPA,no 
65,Vishal,vishal@xyz.com,1,Art of Resume Building,Attending,St Xavier'S College ,Whatsapp,Whatsapp,,Students,2023,Punch,7.8,7.1-8.0,5,Intermediate,0-2 Lakh,12,10-20LPA,yes
66,Shweta,shweta@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Others,Others,College,Students,2024,Srinagar,8.5,8.1-9.0,7,Expert,0-2 Lakh,10,5-10 LPA,no
67,Madhuri,madhuri@xyz.com,1,Art of Resume Building,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Email,Email,,Students,2025,Udhampur,8.7,8.1-9.0,3,Beginner,0-2 Lakh,10,5-10 LPA,no
68,Vaishnavi,vaishnavi@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Others,Others,College,Students,2025,Ballari,9.4,9.1-10,7,Expert,5-7 Lakh,25,20-40LPA,no
69,Rutuja,rutuja@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute Of Technology,Others,Others,College,Students,2026,Hasan,7.7,7.1-8.0,5,Intermediate,0-2 Lakh,9,5-10 LPA,no
70,Somnath ,somnath@xyz.com,1,Art of Resume Building,Attending,New Horizon Institute Of Technology And Management ,Whatsapp,Whatsapp,,Students,2023,Kolar,7.5,7.1-8.0,3,Beginner,0-2 Lakh,8,5-10 LPA,yes
71,Rahul ,rahul@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Facebook,Facebook,,Students,2025,Mysuru,7.2,7.1-8.0,5,Intermediate,2-5 Lakh,7,5-10 LPA,yes
72,Shivani,shivani@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2023,Kochi,7.6,7.1-8.0,4,Beginner,5-7 Lakh,21,20-40LPA,no 
73,Kalpesh,kalpesh@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College Of Engineering,Whatsapp,Whatsapp,,Students,2024,Thrissur,7.3,7.1-8.0,5,Intermediate,0-2 Lakh,16,10-20LPA,yes
74,Sunny,sunny@xyz.com,1,Art of Resume Building,Attending,Wilson College ,Whatsapp,Whatsapp,,Students,2025,Bhopal,9.4,9.1-10,3,Beginner,0-2 Lakh,21,20-40LPA,yes
75,Sarvesh,sarvesh@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2026,Dhar,6.6,6.0 - 7.0,4,Beginner,0-2 Lakh,8,5-10 LPA,no
76,Sanjay,sanjay@xyz.com,1,Art of Resume Building,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Email,Email,,Students,2023,Indore,6.6,6.0 - 7.0,5,Intermediate,0-2 Lakh,7,5-10 LPA,no
77,Amit,amit@xyz.com,1,Art of Resume Building,Attending,"Thakur Institute Of Management Studies, Career Development & Research - [Timscdr]",Cloud Counselage Website,Cloud Counselage Website,,Students,2023,Guna,8.5,8.1-9.0,3,Beginner,0-2 Lakh,20,10-20LPA,no
78,Akash,akash@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini College Of Engineering, Nagpur ",Whatsapp,Whatsapp,,Students,2025,Narwar,8.1,8.1-9.0,4,Beginner,0-2 Lakh,13,10-20LPA,no
79,Shraddha ,shraddha@xyz.com,1,Art of Resume Building,Not Attending,"Vidyalankar Institute Of Technology, Mumbai",Email,Email,,Students,2025,Orchha,7.9,7.1-8.0,7,Expert,0-2 Lakh,24,20-40LPA,no
80,Supriya,supriya@xyz.com,1,Art of Resume Building,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,Whatsapp,Whatsapp,,Students,2024,Sagar,7.1,7.1-8.0,7,Expert,0-2 Lakh,17,10-20LPA,no
81,Pratiksha,pratiksha@xyz.com,1,Art of Resume Building,Not Attending,Adhiyamaan College Of Engineering,Whatsapp,Whatsapp,,Students,2026,Ujjain,7.7,7.1-8.0,7,Expert,0-2 Lakh,21,20-40LPA,no
82,Supriya,supriya@xyz.com,1,Art of Resume Building,Attending,Don Bosco College Of Engineering Fatorda Goa,Others,Others,College,Students,2023,Vidisha,8,7.1-8.0,7,Expert,0-2 Lakh,8,5-10 LPA,yes
83,Nisha,nisha@xyz.com,1,Art of Resume Building,Attending,Pillai College Of Engineering New Panvel,Others,Others,College,Students,2024,Akola,6.5,6.0 - 7.0,7,Expert,0-2 Lakh,9,5-10 LPA,yes
84,Rehan,rehan@xyz.com,1,Art of Resume Building,Attending,St Xavier'S College ,Others,Others,College,Students,2024,Aurangabad,9.4,9.1-10,7,Expert,0-2 Lakh,21,20-40LPA,no 
85,Vinit ,vinit@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute Of Technology, Mumbai",LinkedIn,LinkedIn,,Students,2025,Bhandara,6.8,6.0 - 7.0,5,Intermediate,0-2 Lakh,7,5-10 LPA,no 
86,Shweta,shweta@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Others,Others,College,Students,2025,Bhsawal,6.7,6.0 - 7.0,4,Beginner,0-2 Lakh,25,20-40LPA,yes
87,Pratiksha ,pratiksha@xyz.com,1,Art of Resume Building,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Instagram | Email,Instagram ,,Students,2023,Bid,7.9,7.1-8.0,7,Expert,0-2 Lakh,21,20-40LPA,yes
88,Ninad,ninad@xyz.com,1,Art of Resume Building,Attending,Government Polytechnic Gandhinagar,Whatsapp,Whatsapp,,Students,2023,Buldhana,9.3,9.1-10,5,Intermediate,0-2 Lakh,30,20-40LPA,no
89,Satish ,satish@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2024,Dhule,6.9,6.0 - 7.0,4,Beginner,0-2 Lakh,24,20-40LPA,no
90,Vignesh,vignesh@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2026,Jalgaon,8.9,8.1-9.0,4,Beginner,0-2 Lakh,8,5-10 LPA,no
91,Dinesh,dinesh@xyz.com,1,Art of Resume Building,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Whatsapp,Whatsapp,,Students,2024,Kalyan,8.3,8.1-9.0,7,Expert,0-2 Lakh,19,10-20LPA,yes
92,Ayushi,ayushi@xyz.com,1,Art of Resume Building,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Whatsapp,Whatsapp,,Students,2025,Thane,7.2,7.1-8.0,4,Beginner,0-2 Lakh,21,20-40LPA,no
93,Yash,yash@xyz.com,1,Art of Resume Building,Attending,Government Polytechnic Gandhinagar,Whatsapp,Whatsapp,,Students,2023,Navi Mumbai,8.1,8.1-9.0,7,Expert,0-2 Lakh,17,10-20LPA,no
94,Ritesh,ritesh@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2024,Nagpur,9.6,9.1-10,3,Beginner,0-2 Lakh,9,5-10 LPA,no
95,Leah,leah@xyz.com,1,Art of Resume Building,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Email,Email,,Students,2023,Nanded,7.5,7.1-8.0,3,Beginner,0-2 Lakh,8,5-10 LPA,no
96,Simran,simran@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini College Of Engineering, Nagpur ",Cloud Counselage Website,Cloud Counselage Website,,Students,2024,Kolhapur,7.9,7.1-8.0,7,Expert,0-2 Lakh,8,5-10 LPA,yes
97,Puja,puja@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute Of Technology,Whatsapp,Whatsapp,,Students,2026,Karli,9.3,9.1-10,3,Beginner,0-2 Lakh,8,5-10 LPA,yes
98,Krutika,krutika@xyz.com,1,Art of Resume Building,Attending,New Horizon Institute Of Technology And Management ,Whatsapp,Whatsapp,,Students,2023,Matheran,9.6,9.1-10,4,Beginner,0-2 Lakh,8,5-10 LPA,no 
99,Kapil,kapil@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Cloud Counselage Website,Cloud Counselage Website,,Students,2025,Nashik,9.1,9.1-10,7,Expert,0-2 Lakh,24,20-40LPA,no 
100,Pallavi ,pallavi@xyz.com,1,Art of Resume Building,Attending,"Mit Academy Of Engineering ,Alandi",Whatsapp,Whatsapp,,Students,2025,Solapur,7.5,7.1-8.0,7,Expert,0-2 Lakh,9,5-10 LPA,yes
101,Himani ,himani@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College Of Engineering,Whatsapp,Whatsapp,,Students,2024,Satara,7.6,7.1-8.0,7,Expert,0-2 Lakh,17,10-20LPA,no
102,Sachi,sachi@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Email,Email,,Students,2023,Sangola,7.2,7.1-8.0,7,Expert,0-2 Lakh,11,10-20LPA,no
103,Yogita,yogita@xyz.com,1,Art of Resume Building,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Whatsapp,Whatsapp,,Students,2024,Vasai,7.1,7.1-8.0,5,Intermediate,0-2 Lakh,18,10-20LPA,no
104,Bhagyashri,bhagyashri@xyz.com,1,Art of Resume Building,Attending,Government Polytechnic Gandhinagar,Whatsapp,Whatsapp,,Students,2024,Shillong,7.1,7.1-8.0,4,Beginner,0-2 Lakh,12,10-20LPA,no
105,Shashank,shashank@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2025,Puri,9.5,9.1-10,7,Expert,0-2 Lakh,23,20-40LPA,no
106,Sonali,sonali@xyz.com,1,Art of Resume Building,Attending,D Y Patil Institute Of Mca And Management Akurdi Pune,Whatsapp,Whatsapp,,Students,2023,konark,9.2,9.1-10,5,Intermediate,0-2 Lakh,8,5-10 LPA,no
107,Satish,satish@xyz.com,1,Art of Resume Building,Attending,Ap Shah Institute Of Technology ,Whatsapp,Whatsapp,,Students,2023,Cuttack,7.9,7.1-8.0,5,Intermediate,0-2 Lakh,9,5-10 LPA,yes
108,Supriya,supriya@xyz.com,1,Art of Resume Building,Attending,St Xavier'S College ,LinkedIn,LinkedIn,,Students,2023,Amritsar,7.8,7.1-8.0,3,Beginner,0-2 Lakh,19,10-20LPA,no 
109,Kajal,kajal@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute Of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2025,Patiala,9.1,9.1-10,4,Beginner,0-2 Lakh,25,20-40LPA,yes
110,Aditya,aditya@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Whatsapp,Whatsapp,,Students,2025,Sangrur,6.9,6.0 - 7.0,7,Expert,0-2 Lakh,22,20-40LPA,yes
111,Pratik,pratik@xyz.com,1,Art of Resume Building,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Email,Email,,Students,2023,Ajmer,8.4,8.1-9.0,4,Beginner,7 Lakh+,6,5-10 LPA,no
112,Sonal,sonal@xyz.com,1,Art of Resume Building,Attending,Government Polytechnic Gandhinagar,Others,Others,College,Students,2024,Amer,6.7,6.0 - 7.0,4,Beginner,0-2 Lakh,9,5-10 LPA,no
113,Ashwini,ashwini@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2024,Barmer,9.2,9.1-10,7,Expert,0-2 Lakh,20,10-20LPA,no
114,Sagar,sagar@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute Of Technology, Pune",LinkedIn | Email | Cloud Counselage Website,LinkedIn ,,Students,2023,Bikaner,7.3,7.1-8.0,5,Intermediate,0-2 Lakh,15,10-20LPA,yes
